找|look for
正在|be doing
小学|primary school
同学|classmate
聊天|chat
网|internet
用|use
找到|find
找不到|can't find
没找到|haven't found
请找到|please find
开会|meeting
上网|surf online
网上|online
网络|network
网络|online game
网络游戏|phone game
手游|phone game
和_聊天|chat with _
同事|coworker
聊工作|talk about work
聊朋友|chat with friends
聊运动|talk about sports
聊房子|talk about houses
Janos常常在办公室和同事们聊车和工作。|Janos often talks about cars and work with his colleagues in the office.
在办公室Janos常常和同事们聊工作和车。|In the office, Janos often talks with his colleagues about work and cars.
面对面聊天|face-to-face chat
网上聊天|online chat
校友|alumni
同学会|reunion
校友会|alumni association
同学会上我们都会聊家人|At the class reunion, we all talk about our families.
