纸|paper
熨|iron (clothes)|yùn
寄|send (mail)
铺|lay; pave|pū
盆|basin; bowl
烟|cigarette; smoke
盒|m.w.box
弟弟|younger brother
午饭|lunch
地图|map
茶叶|tea leaves
叶子|leaf
月亮|moon
月饼|mooncake
盒子|box (container)
礼盒|gift box
家务|household chores
打扫|clean; sweep
打算|plan; intend
白天|daytime
当地|local
冰箱|refrigerator
糖果|candy; sweets
玩具|toy
饼干|cookies; crackers
纸巾|tissue
侄子|nephew
侄女|niece
小孩|child
地砖|floor tile
时差|time difference; jet lag
花田|flower field
左右|about; approximately
一会儿|a while; a moment|yīhuìr
郁金香|tulip|yùjīnxiāng
小汽车|small car
冰箱贴|fridge magnet
明信片|postcard
纪念品|souvenir|jìniànpǐn
倒时差|get over jet lag
铺地砖|lay floor tiles
洗衣服|wash clothes
熨衣服|iron clothes
一张纸|a sheet of paper
寄明信片|send a postcard
一盒茶叶|a box of tea leaves
水盆羊肉|lamb in broth (dish)
汉匈词典|Chinese-Hungarian dictionary
打扫房间|clean the room
你怎么来的？|How did you get here? (informal)
你是怎么来的？|How did you get here?
有什么打算？|What are your plans?
花开得晚一点儿。|The flowers bloom a bit late.
白天不要睡觉。|Don't sleep during the day.
又见到你了！|Nice to see you again!
我们又见面了。|We've met again.
很长时间没有见面了。|We haven't seen each other for a long time.
下午还修了一会儿车。|In the afternoon I also repaired the car for a while.
冬天中国和匈牙利有7个小时时差。|In winter, China and Hungary have a 7-hour time difference.
夏天有6个小时的时差。|In summer, there is a 6-hour time difference.
还去看望了爸爸妈妈，一起吃了午饭。|(I) also visited mom and dad, and had lunch together.
Norbert带儿子一起骑自行车。|Norbert rides his bicycle with his son.
Anita的爸爸带家人一起去看花。|Anita's father took the family to see the flowers.
Anita喜欢买当地有名的东西。|Anita likes to buy locally famous things.
我带你们学习汉语。|I'll guide you in learning Chinese.
