泡菜|pickled vegetables; kimchi
泡菜汤|kimchi soup
小吃|snack; street food
回锅肉|twice-cooked pork
泡泡糖|bubble gum
口香糖|chewing gum

泡|soak; steep; (bubbles) foam
冰|ice

晚秋|late autumn
成都|Chengdu
湿|wet; damp
冷|cold

冰岛|Iceland
新西兰|New Zealand
荷兰|the Netherlands
波兰|Poland
英国|the United Kingdom

海边|seaside
多变|changeable
滑雪|ski
滑冰|ice skate
赛格德|Szeged
气温|air temperature

宫保鸡丁|Kung Pao chicken
今天中午我吃了昨天做的宫保鸡丁。|Today at noon I ate the Kung Pao chicken I made yesterday.
晚秋的成都又湿又冷。|In late autumn, Chengdu is wet and cold.
海边的天气很舒服，可是气温很快就变了。|The weather by the sea is comfortable, but the temperature changes quickly.
