奇怪|strange|qíguài
国家|country|guójiā
待|stay|dāi
短|short|duǎn
参观|visit|cānguān
羡慕|envy|xiànmù
梦|dream|mèng

我待在家了一天。|I stayed at home for a day.|wǒ dāi zài jiā le yì tiān
我在布达佩斯待了两年了。|I have been in Budapest for two years.|wǒ zài Bùdápèisī dāi le liǎng nián le
我在布达佩斯待了两年。|I stayed in Budapest for two years.|wǒ zài Bùdápèisī dāi le liǎng nián
我来这儿旅游，待的时间很短。|I came here to travel, and my stay is short.|wǒ lái zhèr lǚyóu, dāi de shíjiān hěn duǎn
不适合穿短裤|not suitable for wearing shorts|bù shìhé chuān duǎnkù
2023年我去了中国，我在中国待了四周。|In 2023 I went to China, and I stayed there for four weeks.|èr líng èr sān nián wǒ qù le Zhōngguó, wǒ zài Zhōngguó dāi le sì zhōu
2023年我去了中国，我在中国待了四个星期。|In 2023 I went to China, and I stayed there for four weeks.|èr líng èr sān nián wǒ qù le Zhōngguó, wǒ zài Zhōngguó dāi le sì gè xīngqī

四天|four days|sì tiān
她跟她的猫待在沙发上。|She stayed on the sofa with her cat.|tā gēn tā de māo dāi zài shāfā shàng
他们|they|tāmen
和家人待在一起|stay together with family|hé jiārén dāi zài yìqǐ
和猫待在一起|stay together with a cat|hé māo dāi zài yìqǐ
和朋友们待在一起|stay together with friends|hé péngyoumen dāi zài yìqǐ
和同事待在一起|stay together with colleagues|hé tóngshì dāi zài yìqǐ
我希望你们多和中国人待在一起，因为这样你们可以练习汉语。|I hope you spend more time with Chinese people, because that way you can practice Chinese.|wǒ xīwàng nǐmen duō hé Zhōngguórén dāi zài yìqǐ, yīnwèi zhèyàng nǐmen kěyǐ liànxí Hànyǔ
多休息|rest more|duō xiūxi
多喝水|drink more water|duō hē shuǐ
多学习|study more|duō xuéxí
多说汉语|speak more Chinese|duō shuō Hànyǔ
少喝酒|drink less alcohol|shǎo hē jiǔ
少工作|work less|shǎo gōngzuò
少待在家|stay at home less|shǎo dāi zài jiā
多出门|go out more|duō chūmén
多去外面|go outside more|duō qù wàimiàn
梦到了什么？|What did you dream about?|mèng dào le shénme
做了一个梦|have a dream|zuò le yí gè mèng
你睡觉的时候会做梦吗？|Do you dream when you sleep?|nǐ shuìjiào de shíhou huì zuòmèng ma

醒的时候|when awake|xǐng de shíhou
Janos醒的时候还记得，但是起床的时候就快忘了。|Janos still remembers when he wakes up, but by the time he gets out of bed he almost forgets.|Janos xǐng de shíhou hái jìde, dànshì qǐchuáng de shíhou jiù kuài wàng le

美术馆|art museum|měishùguǎn

忙着做什么|be busy doing what|mángzhe zuò shénme

忙着做自己的事情|be busy doing one's own things|mángzhe zuò zìjǐ de shìqing


上了一个小时|did it for one hour|shàng le yí gè xiǎoshí
吃饭吃了15分钟|ate for 15 minutes|chīfàn chī le shíwǔ fēnzhōng
学生们考试的时候，老师待了两个小时。|While the students were taking the exam, the teacher stayed for two hours.|xuéshengmen kǎoshì de shíhou, lǎoshī dāi le liǎng gè xiǎoshí
Brigi开车开了四个小时|Brigi drove for four hours|Brigi kāichē kāi le sì gè xiǎoshí

Norbert今天上班上了8个小时|Norbert worked for eight hours today|Norbert jīntiān shàngbān shàng le bā gè xiǎoshí
考试多长时间？考试两个小时。|How long is the exam? The exam is two hours.|kǎoshì duō cháng shíjiān? kǎoshì liǎng gè xiǎoshí

合同多长时间？|How long is the contract?|hétong duō cháng shíjiān
合同2年|The contract is two years.|hétong liǎng nián
汉语课多长时间？|How long is the Chinese class?|Hànyǔ kè duō cháng shíjiān

