家庭|family|jiātíng
家庭聚会|family gathering|jiātíngjùhuì
工作聚会|work gathering|gōngzuòjùhuì
聚会|gathering|jùhuì
同事聚会|coworkers' gathering|tóngshìjùhuì
朋友聚会|friends' gathering|péngyoujùhuì
同学聚会|classmates' gathering|tóngxuéjùhuì
会面|meeting; meet up|huìmiàn
招待会|reception|zhāodàihuì
参加|attend; take part in|cānjiā
帽子|hat; cap|màozi
一会儿|for a short while; soon|yīhuìr
见面<招待会<会面（leaders）|meet up < reception < formal meeting (leaders)|
聚餐|group meal; banquet|jùcān
应该|should; ought to|yīnggāi
冒|to risk; to brave|mào
巾|towel; cloth|jīn
乱|messy; chaotic|luàn
到处|everywhere|dàochù
我一会儿去|I'll go in a bit|wǒyīhuìrqù
我去一会儿|I'll go for a while|wǒqùyīhuìr
很乱|very messy|hěnluàn
衬衫|shirt|chènshān
裤子|pants|kùzi
鞋|shoes|xié
他是一个不喜欢打扫的男人。|He is a man who doesn't like cleaning.|tāshìyīgèbùxǐhuandǎsǎodenánrén.
打扫|clean; tidy|dǎsǎo
我是一个喜欢吃中国菜的人。|I am someone who likes Chinese food.|wǒshìyīgèxǐhuanchīzhōngguócàiderén.
我是一个热情的人。|I am an enthusiastic person.|wǒshìyīgèrèqíngderén.
我很热情。|I am very warm and enthusiastic.|wǒhěnrèqíng.
办法|way; method|bànfǎ
男孩|boy|nánhái
女孩|girl|nǚhái
干净|clean|gānjìng
洁癖|cleanliness obsession; neat freak|jiépǐ
有洁癖|have a cleanliness obsession|yǒujiépǐ
一周两次|twice a week|yīzhōuliǎngcì
每月一次|once a month|měiyuèyīcì
厨房|kitchen|chúfáng
客厅|living room|kètīng
洗手间|bathroom; restroom|xǐshǒujiān
阳台|balcony|yángtái
院子|yard; courtyard|yuànzi
房间|room|fángjiān
卧室|bedroom|wòshì
客房|guest room|kèfáng
衣帽间|walk-in closet|yīmàojiān
书房|study|shūfáng
工作室|art studio; workshop|gōngzuòshì
